행정동_코드,행정동_명,gu_name,lat,lng,영역_면적
11410700,남가좌2동,서대문구,37.58067651020853,126.9221290256805,783775
11410710,북가좌1동,서대문구,37.57816212024476,126.90888650336444,577979
11410720,북가좌2동,서대문구,37.583923412206374,126.91412124261254,824866
11440555,아현동,마포구,37.554582805527076,126.95351642673064,744328
11440565,공덕동,마포구,37.5520710482006,126.95873505101589,1019197
11440585,도화동,마포구,37.54139076456477,126.94989273217293,625018
11350625,중계2?3동,노원구,37.646186549198134,127.06668817664385,919083
11350630,상계1동,노원구,37.68613612420077,127.06590684239477,5402614
11350640,상계2동,노원구,37.659403184459016,127.06788969186235,623125
11440700,망원2동,마포구,37.561739641405346,126.90096146850527,676411
11440710,연남동,마포구,37.565765303331176,126.92232595271119,647438
11440720,성산1동,마포구,37.56474929249891,126.91262694765453,859254
11440730,성산2동,마포구,37.571075387526896,126.90274873591804,1978724
11440740,상암동,마포구,37.57347852088811,126.88068294938422,8402415
11470510,목1동,양천구,37.53027032420306,126.87522041492517,1433111
11470520,목2동,양천구,37.54637990365653,126.87506876857155,1021355
11470530,목3동,양천구,37.54791992734457,126.8663301401539,531850
11320512,창2동,도봉구,37.64526202820273,127.03755574221393,654442
11320513,창3동,도봉구,37.64004375354408,127.0425157891522,655485
11320514,창4동,도봉구,37.655464912029394,127.05170351329967,1140172
11320515,창5동,도봉구,37.658116953240324,127.04357967488502,701480
11320521,도봉1동,도봉구,37.688069883717034,127.02758822438645,8451468
11320522,도봉2동,도봉구,37.684000036294975,127.04849175741006,1119031
11320660,쌍문1동,도봉구,37.655816460575586,127.02030150719594,1175774
11320670,쌍문2동,도봉구,37.65985778013688,127.03771012520731,541193
11320680,쌍문3동,도봉구,37.650408327948924,127.03137115474219,504805
11500550,화곡2동,강서구,37.535013426500115,126.85516374976262,454621
11500604,가양2동,강서구,37.56952131305515,126.85514153740944,823874
11470540,목4동,양천구,37.53810072536363,126.86773956527333,577493
11470550,목5동,양천구,37.53879941982208,126.88067104141108,1766361
11470560,신월1동,양천구,37.534014034619105,126.83527570350607,622400
11470570,신월2동,양천구,37.526173445072885,126.84711498707625,606811
11470580,신월3동,양천구,37.53519324173755,126.82824698727703,918039
11470590,신월4동,양천구,37.524903405554454,126.84063547512855,469873
11470600,신월5동,양천구,37.54364741967316,126.83021894284418,638302
11470610,신월6동,양천구,37.51873471666847,126.84294499109505,444286
11470611,신월7동,양천구,37.521800038998016,126.83138880231043,1230628
11470620,신정1동,양천구,37.52165812302419,126.86044997842069,747568
11470630,신정2동,양천구,37.522152744075456,126.87557346464556,525899
11470640,신정3동,양천구,37.51455266323668,126.84187928922171,2756536
11500560,화곡3동,강서구,37.54674478188992,126.83508901505961,521858
11500570,화곡4동,강서구,37.53882976961806,126.85937668281137,852049
11500590,화곡본동,강서구,37.545384919175255,126.84889720469899,972735
11500591,화곡6동,강서구,37.55447088728154,126.85201351099565,1037911
11500593,화곡8동,강서구,37.53701556123724,126.84955918587137,593322
11500603,가양1동,강서구,37.57440567726608,126.83548028410553,4970691
11440590,용강동,마포구,37.54427973451277,126.94299956801726,790602
11440600,대흥동,마포구,37.554802966889895,126.94231231233856,858570
11440610,염리동,마포구,37.552625451435446,126.94836853098106,491468
11440630,신수동,마포구,37.548402368098635,126.935584249898,797879
11440655,서강동,마포구,37.54947833427754,126.9268131397819,1478577
11440660,서교동,마포구,37.557493818376834,126.9217235589599,1678981
11440680,합정동,마포구,37.549709572709986,126.90974781909577,1712389
11440690,망원1동,마포구,37.556369384350255,126.90053862438504,1101005
11470650,신정4동,양천구,37.52816083646154,126.8584013745285,997144
11470670,신정6동,양천구,37.518633408230606,126.87055699623602,940885
11470680,신정7동,양천구,37.51262785491388,126.86619022271177,1234130
11500510,염창동,강서구,37.55728821917182,126.87259443852084,1732856
11500520,등촌1동,강서구,37.55860772888855,126.8603916707525,650741
11650600,방배1동,서초구,37.48763049097011,126.99704603731215,689244
11650610,방배2동,서초구,37.46815068442241,126.99423248350439,1904030
11650620,방배3동,서초구,37.477124865041475,126.99870856016547,2375134
11650621,방배4동,서초구,37.49258567467884,126.99176502164978,949527
11650651,양재1동,서초구,37.47224846881749,127.02328513474957,5765358
11650652,양재2동,서초구,37.45389744783792,127.04653917792017,7562268
11650660,내곡동,서초구,37.45860661919554,127.07141909664568,12708880
11680510,신사동,강남구,37.52883158891715,127.02097104297282,2059234
11530770,오류1동,구로구,37.49961488226991,126.84243129792183,727414
11530780,오류2동,구로구,37.488050719068134,126.8392333114438,3061018
11530790,수궁동,구로구,37.50118756352263,126.82679887325249,2661352
11530800,항동,구로구,37.48378717192673,126.82538087061145,1446941
